id,name,state,created_at_ms,duration_ms,poll_count,run_time_ms,parent_id
3838,request_986,Completed,12816,12816.147333,0,0,
4650,db_query,Completed,4137,4137.194082999999,0,0,
17,cache_get,Completed,13479,13479.106834,0,0,
1657,cache_get,Completed,13185,13185.885333,0,0,
89,cache_get,Completed,13465,13465.392625,0,0,
108,request_39,Completed,13458,13458.546375,0,0,
1600,handle_request,Completed,13193,13193.037042,0,0,
3299,api_request,Completed,12910,12910.518584,0,0,
1115,request_304,Completed,13274,13274.967332999999,0,0,
1615,request_429,Completed,13193,13193.10375,0,0,
4252,db_query,Completed,8605,8605.5695,0,0,
4503,db_query,Completed,5789,5789.938792,0,0,
4745,db_query,Completed,3072,3072.448708,0,0,
2702,handle_request,Completed,13013,13013.006542,0,0,
2188,api_request,Completed,13100,13100.605209,0,0,
3604,request_925,Completed,12856,12856.186625,0,0,
4329,db_query,Completed,7741,7741.742959,0,0,
881,request_246,Completed,13315,13315.50275,0,0,
2910,api_request,Completed,12971,12971.725665999998,0,0,
4183,db_query,Completed,9388,9388.651458,0,0,
1043,api_request,Completed,13289,13289.149292,0,0,
1573,handle_request,Completed,13200,13200.755875,0,0,
2251,handle_request,Completed,13088,13088.03025,0,0,
4500,db_query,Completed,5821,5821.225958,0,0,
763,handle_request,Completed,13336,13336.538750000002,0,0,
168,handle_request,Completed,13445,13445.367542,0,0,
3705,api_request,Completed,12843,12843.133291999999,0,0,
552,api_request,Completed,13370,13370.343667000001,0,0,
363,handle_request,Completed,13403,13403.777666,0,0,
1886,cache_get,Completed,13147,13147.538417,0,0,
1060,request_289,Completed,13289,13289.418749999999,0,0,
936,handle_request,Completed,13310,13310.22025,0,0,
4599,db_query,Completed,4713,4713.349625,0,0,
1772,cache_get,Completed,13167,13167.298291,0,0,
3044,request_785,Completed,12953,12953.22125,0,0,
4229,db_query,Completed,8866,8866.276083,0,0,
3456,handle_request,Completed,12884,12884.713667,0,0,
1051,request_286,Completed,13289,13289.698541,0,0,
802,request_226,Completed,13330,13330.117333,0,0,
2368,handle_request,Completed,13068,13068.057165999999,0,0,
2682,handle_request,Completed,13014,13014.06475,0,0,
3714,request_953,Completed,12837,12837.932083,0,0,
35,api_request,Completed,13473,13473.824833,0,0,
691,api_request,Completed,13351,13351.030375,0,0,
721,handle_request,Completed,13344,13344.205959,0,0,
785,api_request,Completed,13337,13337.295666999999,0,0,
887,api_request,Completed,13316,13316.581250000001,0,0,
1030,request_281,Completed,13290,13290.205125,0,0,
4399,db_query,Completed,6956,6956.375583,0,0,
2840,api_request,Completed,12986,12986.770792,0,0,
1345,cache_get,Completed,13241,13241.934541999999,0,0,
3136,request_808,Completed,12939,12939.898040999999,0,0,
600,request_178,Completed,13364,13364.43275,0,0,
4028,db_query,Completed,11127,11127.876125,0,0,
2444,request_636,Completed,13054,13054.927625,0,0,
2461,cache_get,Completed,13054,13054.938209,0,0,
